,question,answer,contexts,faithfulness,answer_relevancy,context_relevancy
10,Que dire de la contrainte à répondre en temps limité?,"La contrainte de répondre en temps limité est importante dans le contexte de ce contrat. Les parties doivent communiquer rapidement les informations nécessaires pour la réalisation des prestations. De plus, les personnes référentes sur les projets doivent être en mesure d'accepter ou de refuser rapidement les propositions techniques pour éviter des retards. En cas d'absence de ces personnes, les parties doivent s'informer sans délai pour ne pas affecter le bon déroulement des missions. En somme, la rapidité de réponse est essentielle pour le respect des délais et la bonne exécution du contrat.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",0.6,0.8671984220574336,0.047619047619047616
11,Par quelle considérations se termine le contract?,"Le contrat se termine par des considérations liées à l'obligation générale de conseil du Partenaire. Ce dernier est tenu, dans l'exécution de ses missions, à une obligation générale de conseil et de respect de la réglementation en vigueur. Il s'engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l'information qu'Agilitation lui aura communiqué.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",0.75,0.8419652278451167,0.047619047619047616
12,Sous traitance de tâches et conditions,"Le partenaire peut-il sous-traiter certaines de ses missions?

Oui, le partenaire peut sous-traiter certaines de ses missions, à condition de respecter les règles applicables à ce cas de figure dans le contrat.

Quelles sont les obligations du partenaire en termes de communication et de remplacement du personnel référent?

Les parties peuvent désigner chacune une personne référente sur les projets en cours pour faciliter les échanges. Ces personnes doivent être en mesure d'accepter ou de refuser rapidement les propositions techniques proposées par le partenaire et de faire les choix nécessaires pour éviter des retards. Si le référent désigné doit être remplacé, les parties doivent le faire sans délai. Elles doivent également informer l'autre partie sans délai de l'absence de ces personnes si cela peut affecter le bon déroulement des missions.

Quelles sont les obligations du partenaire en termes de conseil?

Le partenaire est tenu dans l'exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. Il s'engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l'information qu'Agilitation lui aura communiqué.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",1.0,0.8270794574894581,0.047619047619047616
13,Les raisons d'avoir un référent pour chaque partie,"Avoir un référent pour chaque partie dans un projet ou un contrat est important pour plusieurs raisons. 

Premièrement, cela permet de fluidifier les échanges entre les parties. Le référent est la personne qui sera en charge de la communication entre les deux parties, ce qui permet d'éviter les malentendus et de s'assurer que toutes les informations nécessaires sont transmises de manière efficace et rapide.

Deuxièmement, le référent est également en mesure d'accepter ou de refuser rapidement les propositions techniques proposées par l'autre partie. Cela permet d'accélérer le processus de prise de décision et d'éviter les retards dans la mise en place et le déploiement des prestations attendues.

Troisièmement, en cas d'absence du référent, les parties sont tenues de le remplacer sans délai. Cela garantit que le projet ou le contrat ne sera pas retardé en raison de l'absence d'une personne clé.

Enfin, si aucune personne n'est désignée comme référent, les parties ne peuvent s'opposer au défaut d'habilitation d'une personne et devront assumer la responsabilité liée à la demande formalisée par ce canal. Cela souligne l'importance d'avoir un référent pour chaque partie afin d'éviter les problèmes potentiels liés à l'absence de communication ou de prise de décision.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",1.0,0.935250875722284,0.047619047619047616
14,Les devoirs des référents,"Les devoirs des référents, tels que décrits dans les documents, comprennent:

1. Les référents sont désignés par les parties pour faciliter les échanges sur les projets en cours.

2. Ils doivent être en mesure d'accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires pour faire avancer les missions et éviter les retards.

3. Si un référent est absent ou doit être remplacé, les parties doivent s'informer sans délai pour éviter d'affecter le bon déroulement des missions.

4. Si aucune personne n'a été désignée comme référent, les parties ne peuvent s'opposer au défaut d'habilitation d'une personne et doivent assumer la responsabilité liée à la demande formalisée par ce canal.

5. Les référents sont également tenus de respecter les obligations générales de conseil et de respect de la réglementation en vigueur dans l'exécution de leurs missions.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",1.0,0.9201151538717617,0.047619047619047616
15,Passage relatif au remplacement des référents,"Le remplacement des référents est abordé dans la section 6 du document. Selon cette section, les parties peuvent désigner une personne référente pour faciliter les échanges sur les projets en cours. Ces personnes doivent être capables de prendre rapidement des décisions concernant les propositions techniques du Partenaire et de faire les choix nécessaires pour éviter des retards. Si le référent désigné doit être remplacé, les parties doivent le faire sans délai. Elles doivent également informer l'autre partie sans délai si l'absence de ces personnes pourrait affecter le bon déroulement des missions. Si aucune personne référente n'a été désignée, les parties ne peuvent s'opposer au défaut d'habilitation d'une personne et doivent assumer la responsabilité liée à la demande formalisée par ce canal.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",1.0,0.9177086630608634,0.047619047619047616
16,Où sont détaillées les missions,"Les missions sont détaillées en Annexe du Contrat, comme mentionné dans la section 7.","['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",1.0,0.9038597436285021,0.047619047619047616
17,Quelle est l'obligation générale du Partenaire dans l'exécution de ses missions ?,L'obligation générale du Partenaire dans l'exécution de ses missions est une obligation de conseil et de respect de la réglementation en vigueur. Le Partenaire s'engage également à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l'information qu'Agilitation lui aura communiqué.,"['Les Parties se communiquent les éléments nécessaires à la réalisation des prestations dans les meilleurs délais ou dans le respect des dispositions particulières prévues entre eux.\n\n\n5.Intuitu personae\na.Le contrat est conclu en considération des qualités du Partenaire (intuitu personae)\nb.Le Partenaire ne peut pas transférer ou céder une partie ou la totalité des droits et obligations prévus par le Contrat et/ ou ses Annexes à quelqu’un d’autre, sauf accord écrit d’Agilitation.\nc.Le Partenaire peut cependant sous-traiter certaines de ses missions, sous réserve du respect des règles qui s’appliquent à ce cas de figure dans le Contrat.\n\n\n6.Personnel référant, désignation & remplacement. \na.Les parties peuvent désigner chacune une personne référente sur les projets en cours pour fluidifier les échanges. \nb. Ces personnes doivent alors être en mesure d’accepter ou de refuser rapidement les propositions techniques proposées par le Partenaire et de faire les choix nécessaires à l’avancée des missions pour éviter des retards de mise en place et/ou de déploiements des prestations attendues. \nc.Les parties remplacent sans délai le référent désigné dès que c’est nécessaire.\u2028d.Les parties s’informent sans délai de l’absence de ces \npersonnes si cela peut affecter le bon déroulement des \nmissions à accomplir.\u2028e.Les Parties ne peuvent s’opposer le défaut d’habilitation d’une personne si elles n’ont désigné aucun référent et devront assumer la responsabilité liée à la demande formalisée par ce canal. \n\n7.Missions \na.Les missions du Partenaire sont détaillées avec précision en Annexe du Contrat. \nb.Le Partenaire rend compte de ses missions dans les conditions prévues au Contrat. \nc.Agilitation demeure en tout état de cause seule décisionnaire finale des choix stratégiques opérés pour la mise en place différentes actions réalisées par le Partenaire. \n\n8.Obligation générale de conseil. \na.Le Partenaire est tenu dans l’exécution de ses missions à une obligation générale de conseil et de respect de la réglementation en vigueur. \nb.Le Partenaire s’engage notamment à effectuer les prestations et/ou à remettre les livrables libre(s) de tous droits dans la limite des recherches pouvant être accomplies et de l’information qu’Agilitation lui aura communiqué. \nc.']",1.0,0.951624943144215,0.047619047619047616
18,Quels sont les engagements du Partenaire concernant les moyens humains et matériels nécessaires à ses missions ?,"Le Partenaire s'engage à fournir les moyens humains et matériels nécessaires à la bonne réalisation de ses missions. Il assure également le contrôle de ces moyens par des personnels expérimentés. En outre, le Partenaire est tenu de suivre les prestations auxquelles il s'est engagé, en contrôlant leur bonne exécution et en formulant les réclamations éventuelles auprès des fournisseurs. Il doit également défendre activement les intérêts d'Agilitation pour obtenir satisfaction si nécessaire. Enfin, le Partenaire est soumis à une obligation de moyen pour l'ensemble des prestations auxquelles il s'engage, sauf dispositions contraires prévues en Annexe.","[""De manière générale le Partenaire rendra tous les services qu’une partie est raisonnablement en droit d'attendre s’agissant des prestations visées dans les Annexes (respect des règles de l’art par le Partenaire). \nd.Le Partenaire s’engage à fournir les moyens humains et matériels nécessaires à la bonne réalisation de ses missions et veille à assurer leur contrôle par des personnels expérimentés. \ne.Le Partenaire assure le suivi des prestations auxquelles il s’est engagé en contrôlant leur bonne exécution par les Partenaires sollicités et en formulant les réclamations éventuelles auprès des fournisseurs et en défendant activement les intérêts d’Agilitation pour obtenir satisfaction si nécessaire. \n\n9.Obligation de moyen \na.Sauf dispositions contraire prévues en Annexe, le Partenaire est soumis pour l’ensemble des prestations auxquelles il s’engage à une obligation de moyen. \nb.Toutefois, les obligations concernant la confidentialité, le respect des règlementations en vigueur, les garanties et transferts éventuels de droits (type transfert de droit de propriété intellectuelle) sont soumis à une obligation de résultat. \n\n10.Propriété intellectuelle. \na.Certaines prestations réalisées par le Partenaire peuvent donner naissance à des droits de propriété intellectuelle. \nb.Les Données et bases de données d’Agilitation, contenant ou non des Données Personnelles, auxquelles le Partenaire pourrait avoir accès dans le cadre de l’exécution du Contrat sont la propriété exclusive d’Agilitation en sa qualité de producteur de base de Données. \nc.Le Partenaire cède l’intégralité de ses droits patrimoniaux sur la réalisation des travaux effectués au profit d’Agilitation sous réserve du respect de la contrepartie prévue à l’accord. \nd.Sont transférés à Agilitation les droits d’exploitation, de reproduction de représentation, d’édition, de commercialisation, de traduction pour toute la durée de protection des droits de propriété intellectuelle, par tout procédé, quel qu’il soit, connu ou inconnu à ce jour et notamment par tous les réseaux de communication, actuels et futurs et ce sur tout support, en tout format. Les droits cédés le sont pour le monde entier. \ne.Agilitation a le droit de procéder à l’adaptation et l’évolution des travaux réalisées pour son compte par le Partenaire.""]",1.0,0.905449225763117,0.07692307692307693
19,"Quelle obligation le Partenaire est-il soumis pour l'ensemble des prestations, sauf disposition contraire en Annexe ?","Sauf dispositions contraires prévues en Annexe, le Partenaire est soumis pour l’ensemble des prestations auxquelles il s’engage à une obligation de moyen.","[""De manière générale le Partenaire rendra tous les services qu’une partie est raisonnablement en droit d'attendre s’agissant des prestations visées dans les Annexes (respect des règles de l’art par le Partenaire). \nd.Le Partenaire s’engage à fournir les moyens humains et matériels nécessaires à la bonne réalisation de ses missions et veille à assurer leur contrôle par des personnels expérimentés. \ne.Le Partenaire assure le suivi des prestations auxquelles il s’est engagé en contrôlant leur bonne exécution par les Partenaires sollicités et en formulant les réclamations éventuelles auprès des fournisseurs et en défendant activement les intérêts d’Agilitation pour obtenir satisfaction si nécessaire. \n\n9.Obligation de moyen \na.Sauf dispositions contraire prévues en Annexe, le Partenaire est soumis pour l’ensemble des prestations auxquelles il s’engage à une obligation de moyen. \nb.Toutefois, les obligations concernant la confidentialité, le respect des règlementations en vigueur, les garanties et transferts éventuels de droits (type transfert de droit de propriété intellectuelle) sont soumis à une obligation de résultat. \n\n10.Propriété intellectuelle. \na.Certaines prestations réalisées par le Partenaire peuvent donner naissance à des droits de propriété intellectuelle. \nb.Les Données et bases de données d’Agilitation, contenant ou non des Données Personnelles, auxquelles le Partenaire pourrait avoir accès dans le cadre de l’exécution du Contrat sont la propriété exclusive d’Agilitation en sa qualité de producteur de base de Données. \nc.Le Partenaire cède l’intégralité de ses droits patrimoniaux sur la réalisation des travaux effectués au profit d’Agilitation sous réserve du respect de la contrepartie prévue à l’accord. \nd.Sont transférés à Agilitation les droits d’exploitation, de reproduction de représentation, d’édition, de commercialisation, de traduction pour toute la durée de protection des droits de propriété intellectuelle, par tout procédé, quel qu’il soit, connu ou inconnu à ce jour et notamment par tous les réseaux de communication, actuels et futurs et ce sur tout support, en tout format. Les droits cédés le sont pour le monde entier. \ne.Agilitation a le droit de procéder à l’adaptation et l’évolution des travaux réalisées pour son compte par le Partenaire.""]",1.0,0.8904395815334293,0.07692307692307693
20,Que doit céder le partenaire sous réserve du respect de la contrepartie prévue à l’accord?,"Le partenaire doit céder l'intégralité de ses droits patrimoniaux sur la réalisation des travaux effectués au profit d’Agilitation. Cela inclut les droits d’exploitation, de reproduction de représentation, d’édition, de commercialisation, de traduction pour toute la durée de protection des droits de propriété intellectuelle, par tout procédé, quel qu’il soit, connu ou inconnu à ce jour et notamment par tous les réseaux de communication, actuels et futurs et ce sur tout support, en tout format. Les droits cédés le sont pour le monde entier.","[""De manière générale le Partenaire rendra tous les services qu’une partie est raisonnablement en droit d'attendre s’agissant des prestations visées dans les Annexes (respect des règles de l’art par le Partenaire). \nd.Le Partenaire s’engage à fournir les moyens humains et matériels nécessaires à la bonne réalisation de ses missions et veille à assurer leur contrôle par des personnels expérimentés. \ne.Le Partenaire assure le suivi des prestations auxquelles il s’est engagé en contrôlant leur bonne exécution par les Partenaires sollicités et en formulant les réclamations éventuelles auprès des fournisseurs et en défendant activement les intérêts d’Agilitation pour obtenir satisfaction si nécessaire. \n\n9.Obligation de moyen \na.Sauf dispositions contraire prévues en Annexe, le Partenaire est soumis pour l’ensemble des prestations auxquelles il s’engage à une obligation de moyen. \nb.Toutefois, les obligations concernant la confidentialité, le respect des règlementations en vigueur, les garanties et transferts éventuels de droits (type transfert de droit de propriété intellectuelle) sont soumis à une obligation de résultat. \n\n10.Propriété intellectuelle. \na.Certaines prestations réalisées par le Partenaire peuvent donner naissance à des droits de propriété intellectuelle. \nb.Les Données et bases de données d’Agilitation, contenant ou non des Données Personnelles, auxquelles le Partenaire pourrait avoir accès dans le cadre de l’exécution du Contrat sont la propriété exclusive d’Agilitation en sa qualité de producteur de base de Données. \nc.Le Partenaire cède l’intégralité de ses droits patrimoniaux sur la réalisation des travaux effectués au profit d’Agilitation sous réserve du respect de la contrepartie prévue à l’accord. \nd.Sont transférés à Agilitation les droits d’exploitation, de reproduction de représentation, d’édition, de commercialisation, de traduction pour toute la durée de protection des droits de propriété intellectuelle, par tout procédé, quel qu’il soit, connu ou inconnu à ce jour et notamment par tous les réseaux de communication, actuels et futurs et ce sur tout support, en tout format. Les droits cédés le sont pour le monde entier. \ne.Agilitation a le droit de procéder à l’adaptation et l’évolution des travaux réalisées pour son compte par le Partenaire.""]",1.0,0.9026436139564123,0.07692307692307693
